DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
SDSS J142058.30+213156.6   ,,                   ,14,20,58.3,21,31,57,29.7,5.7,L1  ,     ,     ,     ,19.5,     ,15.12,14.52,14.06,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,12.32392291,1.677212298,26.97031485
DENIS-P J1520174-175530    ,,J15201746-1755307  ,15,20,17.5,-17,55,31,29.7,6.2,L1  ,     ,     ,     ,     ,17.8,14.64,13.94,     ,13.53,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,12.15877071,2.975232264,26.9332933
SDSS J154628.38+253634.3   ,,J15462849+2536338  ,15,46,28.5,25,36,34,29.7,5.7,L1  ,     ,     ,     ,20.15,     ,15.76,15.07,14.71,      ,     ,     ,     ,    ,    ,    ,      ,          ,2009,      ,,9.250247978,1.465095349,28.18468393
SDSSp J083717.22-000018.3  ,,A J08371718-000017 ,8,37,17.2,0,0,18,29.67,1.84,T0  ,     ,     ,     ,23.79,     ,17.1,15.99,15.67,15.05,15.39,14.68,12.77,    ,    ,    ,      ,          ,2000,      ,,10.47710232,0,27.75858834
2MASS J12340590-5827495    ,,J12340590-5827495  ,12,34,5.9,-58,27,50,29.65,4.19,L2  ,     ,     ,     ,     ,     ,14.77,14,13.57,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,10.77968257,1.27585951,27.59154085
ULAS J085910.69+101017.1   ,,                   ,8,59,10.7,10,10,17,29.6,    ,T7  ,     ,     ,     ,     ,     ,17.88,18.58,18.26,      ,17.33,15.41,12.44,825,    ,    ,      ,          ,2008,      ,,7.75611097,0.338639118,28.56375441
SDSS J115700.50+061105.2   ,,A J11570049+061105 ,11,57,0.5,6,11,5,29.59,2.43,T1.5,     ,     ,     ,     ,     ,16.93,16.04,15.25,      ,15.37,14.52,12.31,    ,    ,    ,      ,          ,2004,      ,,8.0216389,0.385306947,28.47934248
WISEP J201404.13+042408.5  ,,                   ,20,14,4.1,4,24,9,29.5,    ,T6.5,     ,     ,     ,     ,     ,18.76,18.66,17.84,      ,17.94,15.16,12.3,825,    ,    ,      ,          ,2013,      ,,13.08289903,1.375068098,26.40448713
SDSS J205235.31-160929.8 A ,x,J20523515-1609308  ,20,52,35.2,-16,9,31,29.5,0.7,T1  ,     ,     ,     ,     ,     ,17.01,15.92,15.56,      ,14.22,13.55,12.37,    ,    ,    ,      ,          ,2006,      ,,8.54612832,0.335778296,28.23297617
SDSS J205235.31-160929.8 B ,x,J20523515-1609308  ,20,52,35.2,-16,9,31,29.5,0.7,T3.5,     ,     ,     ,     ,     ,17.16,16.48,16.31,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,8.54612832,0.335778296,28.23297617
HD 162020 b                ,x,                   ,17,50,38.3,-40,19,6,29.43,1.13,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,19,0.076,0.023,2002,      ,,8.741435329,0.726357263,28.09242983
51 Eridani b               ,x,                   ,4,37,36.1,-2,28,25,29.43,0.29,T   ,     ,     ,     ,     ,     ,16.75,16.86,     ,      ,     ,     ,     ,675,1,6,14,41,2015,      ,,10.27731851,1.26189604,27.54830744
CFBDSIR J145829+101343 A   ,x,                   ,14,58,29.4,10,13,42,29.41,2.25,T9  ,     ,     ,     ,     ,     ,19.83,20.18,20.63,20.63,17.88,15.49,12.42,575,0.95,22,      ,          ,2010,      ,,7.786327053,0.442139692,28.35711063
CFBDSIR J145829+101343 B   ,x,                   ,14,58,29.4,10,13,42,29.41,2.25,Y0  ,     ,     ,     ,     ,     ,21.85,22.51,22.83,22.83,     ,     ,     ,370,1,11,2.6,29,2011,      ,,7.786327053,0.442139692,28.35711063
2MASS J14082553-5805324    ,,J14082553-5805324  ,14,8,25.5,-58,5,32,29.4,7.15,L4  ,     ,     ,     ,     ,19.22,15.46,14.75,14.23,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,13.75102903,0.300048521,25.98421004
2MASSW J1430436+291541 A   ,x,J14304358+2915405  ,14,30,43.6,29,15,41,29.4,2,L2  ,     ,     ,     ,18.76,18,14.27,13.44,12.77,      ,12.33,12,11.2,    ,    ,80,      ,          ,2003, UNCON,,11.14080976,0.73020725,27.19759466
2MASSW J1430436+291541 B   ,x,J14304358+2915405  ,14,30,43.6,29,15,41,29.4,2,L3  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,79,2.6,15,2003,      ,,11.14080976,0.73020725,27.19759466
WISEPA J061208.69-492023.8 ,,                   ,6,12,8.7,-49,20,24,29.2,    ,T3.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,15.35,14.08,12.57,    ,    ,    ,      ,          ,2011,      ,,13.18967679,1.153947194,26.02577246
SDSS J081757.49+182405.0   ,,                   ,8,17,57.5,18,24,5,29.2,5.6,L1  ,     ,     ,     ,19.44,     ,15.09,14.29,13.82,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,12.5068243,1.314520203,26.35320441
2MASS J08441409-2924121    ,,J08441409-2924121  ,8,44,14.1,-29,24,12,29.2,2.95,L4  ,     ,     ,     ,     ,     ,15.41,14.57,13.84,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,9.426352246,0.990749544,27.61887577
2MASS J06141196-2019181    ,,J06141196-2019181  ,6,14,12,-20,19,18,29.15,2.55,L4  ,     ,     ,     ,     ,     ,14.78,13.9,13.38,      ,13.04,12.79,12.56,2000,1,    ,      ,          ,     ,      ,,12.93930265,1.075173138,26.09867716
DENIS-P J0213371-134322    ,,J02133713-1343228  ,2,13,37.1,-13,43,23,29.1,6.2,L1  ,     ,     ,     ,     ,17.61,14.48,13.8,     ,13.34,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,12.79907688,2.429980671,26.02093052
2MASSW J0928397-160312     ,,J09283972-1603128  ,9,28,39.7,-16,3,13,29.07,3.3,L2  ,     ,     ,     ,     ,18.8,15.32,14.29,13.62,      ,13.05,12.75,12.37,1950,1,    ,      ,          ,2000,      ,,11.28028498,0.147667019,26.79175741
SDSS J000112.18+153535.5   ,,J00011217+1535355  ,0,1,12.2,15,35,36,29,6,L4  ,     ,     ,     ,     ,     ,15.52,14.51,13.71,      ,     ,     ,     ,    ,    ,    ,      ,          ,2004,"		",,14.20071394,2.185698925,25.19052289
SDSSp J023617.93+004855.0  ,,J02361794+0048548  ,2,36,17.9,0,48,55,29,3,L6  ,     ,25.04,     ,21.5,     ,16.1,15.27,14.67,14.54,13.81,13.36,12.36,    ,    ,    ,      ,          ,2002,      ,,10.13108461,2.15342851,27.08733782
LP 475-855 B               ,x,J04290287+1337586  ,4,29,2.9,13,37,59,29,5,M9.5,20.8,     ,     ,     ,14.81,12.65,11.94,     ,11.62,     ,     ,     ,    ,    ,84,8.5,85,     , UNCON,,11.06322009,1.801759805,26.74619268
SDSS J053012.60+625325.2   ,,J05301261+6253254  ,5,30,12.6,62,53,25,29,5.5,L1  ,     ,     ,     ,     ,     ,14.05,13.26,12.71,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,10.77848644,2.537996659,26.8026641
SDSS J065405.63+652805.4   ,,J06540564+6528051  ,6,54,5.6,65,28,5,29,5,L6  ,     ,     ,     ,     ,     ,16.14,15.2,14.6,      ,     ,     ,     ,    ,    ,    ,      ,          ,2006,      ,,8.163811792,1.002390046,27.80912424
SDSS J082348.15+242857.9   ,,J08234818+2428577  ,8,23,48.2,24,28,58,29,3,L3  ,     ,     ,     ,19.56,     ,14.99,14.06,13.38,      ,12.81,12.48,12.03,    ,    ,    ,      ,          ,2000,      ,,11.73000206,1.440263152,26.48268668
2MASS J09352803-2934596    ,,J09352803-2934596  ,9,35,28,-29,34,60,29,2,L0  ,     ,     ,     ,     ,     ,14.04,13.31,12.82,      ,     ,     ,     ,    ,    ,    ,      ,          ,2006,      ,,10.34079976,1.545442879,27.04957424
SDSS J102552.43+321234.0   ,,J10255227+3212349  ,10,25,52.3,32,12,35,29,1,L7.5,     ,     ,     ,     ,     ,15.91,15.59,15.07,      ,14.4,14.03,12.51,    ,    ,    ,      ,          ,2004,      ,,11.56274508,0.605977792,26.58826277
SDSS J115013.17+052012.3   ,,J11501322+0520124  ,11,50,13.2,5,20,12,29,  ? ,L5.5,     ,     ,     ,21.3,     ,16.25,15.46,15.02,      ,     ,     ,     ,    ,    ,    ,      ,          ,2009,      ,,8.660831628,0.757724584,27.66614988
ULAS J120257.05+090158.8   ,,                   ,12,2,57.1,9,1,59,29,  ? ,T5  ,     ,     ,     ,     ,     ,16.71,16.91,16.94,      ,16.84,14.91,12.04,    ,    ,    ,      ,          ,2010,      ,,14.17521687,0.061851444,25.29939527
SDSS J140255.66+080055.2   ,,J14025564+0800553  ,14,2,55.6,8,0,55,29,1,T1.5,     ,     ,     ,     ,     ,16.84,15.97,15.59,      ,14.93,14.2,12.57,    ,    ,    ,      ,          ,2006,      ,,14.17811146,0,25.29784883
DENIS-P J1446229-395231    ,,                   ,14,46,23,-39,52,31,29,5.9,L1  ,     ,     ,     ,     ,17.67,14.3,     ,     ,13.07,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,8.921160015,2.059612075,27.51673858
WISE J151314.61+401935.6   ,,                   ,15,13,14.6,40,19,36,29,2,L8  ,     ,     ,     ,     ,     ,17.08,16.15,15.22,      ,14.39,13.86,12.68,    ,    ,    ,      ,          ,2013,      ,,12.98061662,1.078606064,25.91023352
SDSS J153453.33+121949.2   ,,J15345325+1219495  ,15,34,53.3,12,19,50,29,1,L4  ,     ,     ,     ,     ,     ,15.33,14.3,13.83,      ,     ,     ,     ,    ,    ,    ,      ,          ,2006,      ,,10.48772683,0.871462897,27.02310379
WISEP J175929.37+544204.7  ,,                   ,17,59,29.4,54,42,5,29,  ? ,T7  ,     ,     ,     ,     ,     ,17.93,18.26,     ,      ,18.55,15.51,13.61,    ,    ,    ,      ,          ,2013,      ,,7.441340291,1.379170903,27.99507711
DENIS-P J1935560?284634    ,,J19355595-2846343  ,19,35,56,-28,46,34,29,  ? ,M9.5,     ,     ,     ,     ,17.21,13.95,13.18,     ,12.71,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,10.19175153,2.073535284,27.07080812
SDSS J204317.69-155103.4   ,,J20431769-1551031  ,20,43,17.7,-15,51,3,29,  ? ,L9  ,     ,     ,     ,     ,     ,16.63,16.05,15.4,      ,14.78,14.16,11.77,    ,    ,    ,      ,          ,2006,      ,,9.290896009,2.102315131,27.39086568
DENIS-P J2243169?593219    ,,J22431696-5932206  ,22,43,17,-59,32,21,29,4,L0  ,     ,     ,     ,     ,17.4,14.07,13.39,12.84,12.97,12.48,12.26,11.43,    ,    ,    ,      ,          ,2007,      ,,9.43445616,1.325926344,27.39038073
WISEP J230356.79+191432.9  ,,                   ,23,3,56.8,19,14,33,29,  ? ,T4  ,     ,     ,     ,     ,     ,16.86,16.02,17.1,      ,16.5,14.67,12.66,    ,    ,    ,      ,          ,2013,      ,,14.0391463,0.858670972,25.36069903
CFBDS J232304-015232       ,,                   ,23,23,4.4,-1,52,34,29,8,T6  ,     ,     ,     ,     ,     ,17.23,17.46,17.3,      ,16.68,15.07,     ,975,    ,    ,      ,          ,2011,      ,,11.5973282,2.677454184,26.44490911
SSSPM J2400-2008           ,,J23595762-2007394  ,23,59,57.6,-20,7,39,29,  ? ,L1  ,     ,     ,     ,     ,     ,14.38,13.62,13.25,      ,     ,     ,     ,    ,    ,    ,      ,          ,2005,      ,,7.507138152,0.229363815,28.01053853
WISE J000856.39-281321.7   ,,J00085614-2813211  ,0,8,56.4,-28,13,22,29,5,L8  ,     ,     ,     ,     ,     ,16.73,15.66,15.05,      ,14.12,13.64,     ,    ,    ,    ,      ,          ,2015, UNCON,,13.48781182,0.765893459,25.66110558
WISE J090308.17+165935.4   ,x,                   ,9,3,8.2,16,59,35,29,3,T0  ,     ,     ,     ,     ,     ,16.4,15.8,     ,15.26,14.53,13.99,12.35,    ,    ,    ,      ,          ,2009,      ,,13.68846288,3.603871519,25.31082958
WISE J090308.17+165935.4 B ,x,                   ,9,3,8.2,16,59,35,29,3,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,13.68846288,3.603871519,25.31082958
SDSS J120602.51+281328.7 B ,x,                   ,12,6,2.5,28,13,29,29,3,T5  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,2.5,          ,     ,      ,,13.81072241,0.784229652,25.48821159
2MASS J13411160-30525049 B ,x,J13411160-30525049 ,13,41,11.6,-30,52,50,29,3,T6  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,1027,    ,32,7.8,74,2014,      ,,9.525984177,2.199246736,27.30236142
WISE J205202.06-204313.0   ,,                   ,20,52,2.1,-20,43,13,29,2,L8  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015,      ,,8.325819203,1.580706165,27.73413245
SDSS J214956.55+060334 A   ,x,                   ,21,49,56.6,6,3,34,29,3,M8  ,     ,     ,     ,     ,     ,     ,12.63,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,8.726558756,0.114236912,27.65563455
SDSS J214956.55+060334 B   ,x,                   ,21,49,56.6,6,3,34,29,3,T6.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,P,8.726558756,0.114236912,27.65563455
DENIS-P J0314352?462340    ,,J03143304-4623400  ,3,14,33.1,-46,23,40,28.9,6,L2  ,     ,     ,     ,     ,17.99,14.75,13.92,13.34,13.71,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,12.76825511,1.285695684,25.89456793
DENIS-P J0719317?505141    ,,J07193188-5051410  ,7,19,32.1,-50,51,42,28.9,1.84,L0  ,     ,     ,     ,     ,17.44,14.09,13.28,12.77,12.91,12.44,12.21,11.58,2000,1,    ,      ,          ,2004,      ,,11.96431486,2.707248056,26.16746029
2MASS J16415790-3042028    ,,J16415790-3042028  ,16,41,57.9,-30,42,3,28.89,5.79,L3.5,     ,     ,     ,     ,     ,15.22,14.42,13.96,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,9.486285006,1.758179003,27.23143961
DENIS-P J1157480-484442    ,,J11574809-4844428  ,11,57,48.1,-48,44,43,28.87,0.07,L0.5,     ,     ,     ,     ,17.32,14.01,13.33,12.79,      ,     ,     ,     ,    ,    ,82,      ,          ,2002,      ,,7.597052537,1.476717421,27.81332412
2MASS J09201223+3517429 A  ,x,J09201223+3517429  ,9,20,12,35,17,40,28.82,0.75,L5.5,     ,     ,     ,     ,19.4,16.36,15.33,13.98,14.58,13.28,12.79,12.46,1375,1,71,      ,          ,1999,      ,,12.12363019,0.900941351,26.13040941
2MASS J09201223+3517429 B  ,x,J09201223+3517429  ,9,20,12.2,35,17,43,28.82,0.75,L9  ,     ,     ,     ,     ,     ,16.4,15.53,13.98,14.9,     ,     ,     ,1320,1,71,1.44,6.7,2000,      ,,12.12325118,0.900913186,26.13058622
CFHT-Hy-20                 ,,                   ,4,30,38.8,13,9,57,28.8,0.3,T2  ,     ,     ,     ,     ,21.58,     ,     ,16.08,      ,15.6,14.65,11.84,1361,    ,37,      ,          ,2008,      ,,10.9377232,0.429744315,26.6387224
WISE J013525.37+020518.4   ,,                   ,1,35,25.4,2,5,18,28.8,3,L9.5,     ,     ,     ,     ,     ,16.48,15.66,     ,14.99,14.31,13.9,12.04,    ,    ,    ,      ,          ,2015,      ,,10.3861449,0.226626488,26.86106168
WISE J110827.18+083759.5   ,,                   ,11,8,27.2,8,37,60,28.8,3.5,L8  ,     ,     ,     ,     ,     ,16.56,15.65,     ,14.99,14.13,13.66,12.62,    ,    ,    ,      ,          ,2009,      ,,13.29529037,2.165275534,25.45558555
SDSS J191709.94+775600.1   ,,J19170993+7755597  ,19,17,9.9,77,55,60,28.6,5.5,L0  ,     ,     ,     ,     ,     ,14.63,13.84,13.25,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,12.05103824,2.948870297,25.76890842
2MASSW J0337036-175807 A   ,x,J03370359-1758079  ,3,37,3.6,-17,58,8,28.5,3.2,L4.5,23.6,     ,     ,     ,19.4,15.62,14.41,13.58,      ,12.83,12.45,11.87,1910,    ,61,      ,          ,2000,      ,,9.768916525,2.526413594,26.65399603
2MASSW J0337036-175807 B   ,x,J03370359-1758079  ,3,37,3.6,-17,58,8,28.5,3.2,T8  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,615,    ,14,2.52,          ,2010,      ,,9.768916525,2.526413594,26.65399603
WISE J030119.39-231921.1   ,,                   ,3,1,19.4,-23,19,21,28.5,4.5,T0.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,14.05879643,1.168195898,24.76359347
WISE J034858.75-562017.8   ,,                   ,3,48,58.8,-56,20,18,28.5,4.5,T2.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,8.657929304,0.757470664,27.14252196
TWA 26                     ,,J11395113-3159214  ,11,39,51.1,-31,59,22,28.49,3.49,M9  ,     ,     ,18.1,     ,15.83,12.69,12,     ,11.5,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,9.439798896,2.485291642,26.76553049
DENIS-P J0703238-611004    ,,                   ,7,3,23.8,-61,10,5,28.4,5.4,L1  ,     ,     ,     ,     ,17.91,14.47,     ,     ,13.08,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,13.82076873,0.603427795,24.8028673
2MASSW J1018588-290953     ,,J10185879-2909535  ,10,18,58.8,-29,9,54,28.33,2.57,L1  ,     ,     ,     ,     ,     ,14.21,13.42,12.8,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,12.07760982,0.474530582,25.62215958
SDSS J100711.74+193056.2   ,,J10071185+1930563  ,10,7,11.9,19,30,56,28.3,6.7,L8  ,     ,     ,     ,     ,     ,16.87,15.76,15,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,13.258957,1.745574805,24.94079044
DENIS-P J225451.90-284025.4,,J22545194-2840253  ,22,54,51.9,-28,40,25,28.2,2,L0.5,     ,     ,     ,     ,17.4,14.13,13.43,12.96,12.8,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,7.786997392,1.373057739,27.06875291
SDSS J001608.44-004302.3   ,,J00160844-0043021  ,0,16,8.4,0,43,2,28,  ? ,L5.5,     ,     ,     ,     ,     ,16.33,15.23,14.54,      ,     ,     ,     ,    ,    ,    ,      ,          ,2004,"		",,12.04387578,2.286601262,25.1737266
2MASS J00332386-1521309    ,,J00332386-1521309  ,0,33,23.9,-15,21,31,28,6,L4  ,     ,     ,     ,     ,18.3,15.29,14.21,13.41,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,10.28705479,0.945247546,26.02466159
2MASSW J0135358+120522     ,,J01353586+1205216  ,1,35,35.9,12,5,22,28,2,L1.5,     ,     ,     ,     ,     ,14.41,13.53,12.92,      ,12.51,12.26,11.72,    ,    ,    ,      ,          ,2000,      ,,10.07770181,0.219896236,26.12262567
SDSS J024749.90-163112.6   ,,J02474978-1631132  ,2,47,49.8,-16,31,13,28,4,T2  ,     ,     ,     ,     ,     ,17.19,16.17,15.62,      ,15.2,14.2,12.68,    ,    ,    ,      ,          ,1999,      ,,8.593013345,1.169457791,26.62315703
SDSSp J033035.13-002534.5  ,,J03303511-0025346  ,3,30,35.1,0,25,35,28,3,L4  ,     ,22.31,     ,20.14,19,15.31,14.42,13.84,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,10.58577599,1.159331021,25.89589346
WISEP J043052.92+463331.6  ,,                   ,4,30,52.9,46,33,32,28,  ? ,T8  ,     ,     ,     ,     ,     ,19.03,19.25,     ,      ,18.08,14.4,11.51,    ,    ,    ,      ,          ,2013,      ,,10.50568442,1.523251747,25.90965648
SDSS J080027.57+551134.1   ,,                   ,8,0,27.6,55,11,34,28,5.3,L1  ,     ,     ,     ,19.07,     ,14.62,13.82,13.36,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,13.93523504,0.669357339,24.27676224
SDSS J082029.92+450030.6   ,,J08202996+4500315  ,8,20,30,45,0,32,28,3,L5  ,     ,     ,     ,     ,20,16.28,15,14.22,      ,13.51,13.17,12.22,    ,    ,    ,      ,          ,2000,      ,,11.77792002,0,25.40237391
ULAS J101243.54+102101.7   ,,                   ,10,12,43.5,10,21,2,28,5,T5.5,     ,     ,     ,     ,     ,16.87,17.21,17.55,17.45,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,12.57975391,1.155917001,24.9882702
ULAS J1204-0150            ,,                   ,12,4,44.9,-1,50,36,28,  ? ,T5.5,     ,     ,     ,     ,     ,16.81,17.07,     ,17.29,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,13.17475731,2.920773378,24.53354546
SDSS J135923.99+472843.2   ,,J13592403+4728431  ,13,59,24,47,28,43,28,3,L8.5,     ,     ,     ,     ,     ,17.16,16.05,15.49,      ,     ,     ,     ,    ,    ,    ,      ,          ,2004,      ,,7.263169275,0.89180505,27.02685805
DENIS-P J154747.2-242349   ,,J15474719-2423493  ,15,47,47.2,-24,23,49,28,3,L0  ,     ,     ,     ,     ,     ,13.97,13.27,12.74,      ,     ,     ,     ,    ,    ,    ,      ,          ,2009,      ,,8.633600556,0.869357863,26.62151683
WISEP J170745.85-174452.5  ,,                   ,17,7,45.9,-17,44,53,28,  ? ,T5  ,     ,     ,     ,     ,     ,16.35,17.11,15.85,      ,16.54,13.68,11.89,    ,    ,    ,      ,          ,2013,      ,,12.92856682,2.513058814,24.70904076
WISE J093654.63-334620.5   ,,                   ,9,36,54.6,-33,46,21,28,6,L0  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,9.731074319,1.979809446,26.17988822
2MASS J11582077+0435014 B  ,x,J11582077+0435014 B,11,58,20.8,4,35,1,28,2,T2.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,2.5,          ,     ,      ,,7.355241105,1.132079883,26.99294025
WISE J130729.56-055815.4   ,,                   ,13,7,29.6,-5,58,15,28,2,L8  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015,      ,,12.7793813,3.304972722,24.69341144
WISE J172120.69+464025.9   ,,                   ,17,21,20.7,46,40,26,28,2,T0  ,     ,     ,     ,     ,     ,16.79,15.84,     ,15.24,14.45,13.94,12.72,    ,    ,    ,      ,          ,2015,      ,P,11.50667245,2.028936811,25.44562643
WISE J223343.53-133140.9   ,,                   ,22,33,43.5,-13,31,41,28,2,T2  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015,      ,,10.1992668,1.388059292,26.03935959
WISEPA J022623.98-021142.8 ,,                   ,2,26,24,-2,11,43,27.9,    ,T7  ,     ,     ,     ,     ,     ,18.94,18.84,     ,      ,17.64,14.54,12.86,825,    ,    ,      ,          ,2011,      ,,11.06766578,0.53161811,25.60535406
WISEPC J134806.99+660327.8 ,,                   ,13,48,7,66,3,28,27.9,    ,L9  ,     ,     ,     ,     ,     ,17.17,15.84,15.55,      ,14.44,13.75,12.72,    ,    ,    ,      ,          ,2011,      ,,8.607328061,0.112676097,26.53886222
ULAS J230601.02+130225.0   ,,                   ,23,6,1,13,2,25,27.8,    ,T6.5,     ,     ,     ,     ,     ,17.57,18,18.03,      ,17.79,15,12.8,975,    ,    ,      ,          ,2010,      ,,13.2627318,0.115742107,24.43208033
