    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SDSS J134845.94+035354.2   |  |J13484591+0353545  |13 |48| 45.9 | +03|53|55|24.40|4.70|L0  |     |     |     |19.05|     |14.63|13.76|13.23|      |     |     |     |    |    |    |      |          | 2008|      |
SDSS J135439.54+504451.0   |  |                   |13 |54| 39.5 | +50|44|51|22.70|4.30|L1  |     |     |     |18.68|     |14.35|13.58|13.16|      |     |     |     |    |    |    |      |          | 2010|      |
SDSS J135712.40+142839.8   |  |J13571237+1428398  |13 |57| 12.4 | +14|28|40|32.00|1.00|L3  |     |     |     |20.12|     |15.58|14.65|13.88|      |     |     |     |    |    |    |      |          | 2002|      |
SDSS J135852.68+374711.9   |  |J13585269+3747137  |13 |58| 52.7 | +37|47|14|26.00|1.00|T4.5|     |     |     |     |     |16.46|16.14|16.10|16.66 |16.12|14.12|12.37|    |    |    |      |          | 2006|      |
SDSS J135923.99+472843.2   |  |J13592403+4728431  |13 |59| 24.0 | +47|28|43|28.00|3.00|L8.5|     |     |     |     |     |17.16|16.05|15.49|      |     |     |     |    |    |    |      |          | 2004|      |
DENIS-P J1359551?403456    |  |J13595510-4034582  |13 |59| 55.1 | -40|34|58|15.58|1.33|L1  |     |     |     |     |16.98|13.65|13.03|12.57|12.62 |12.18|11.89|11.34|    |    |    |      |          | 2006|      |
SDSS J140023.12+433822.3   |  |J14002320+4338222  |14 | 0| 23.2 | +43|38|22|23.70|1.10|L7  |     |     |     |     |     |16.30|15.09|14.49|      |     |     |     |    |    |    |      |          | 2005|      |
WISEP J140035.40-385013.5  |  |                   |14 | 0| 35.4 | -38|50|14|22.00|  ? |T4  |     |     |     |     |     |16.04|15.82|16.07|      |15.34|13.75|12.78|    |    |    |      |          | 2013|      |
SDSS J140255.66+080055.2   |  |J14025564+0800553  |14 | 2| 55.6 | +08| 0|55|29.00|1.00|T1.5|     |     |     |     |     |16.84|15.97|15.59|      |14.93|14.20|12.57|    |    |    |      |          | 2006|      |
SDSS J140444.86+463430.4   |  |J14044495+4634297  |14 | 4| 45.0 | +46|34|30|25.60|4.90|L0  |     |     |     |18.66|     |14.34|13.53|13.06|      |     |     |     |    |    |    |      |          | 2007|      |
2MASS J14044941-3159329 A  | x|J14044941-3159329  |14 | 4| 49.4 | -31|59|33|23.75|0.62|T1  |     |     |     |     |     |16.63|15.49|14.85|      |13.82|12.91|11.64|    |    |42  |      |          | 2007|      |
2MASS J14044941-3159329 B  | x|J14044941-3159329  |14 | 4| 49.4 | -31|59|33|23.75|0.62|T5  |     |     |     |     |     |16.10|15.97|16.05|      |     |     |     |    |    |31  |  3.1 |       32 |     |      |
WISEPC J140518.40+553421.4 |  |                   |14 | 5| 18.4 | +55|34|21| 4.83|0.91|Y0  |     |     |     |     |     |21.06|21.50|     |      |18.77|14.10|12.20| 375|0.86|30  |      |          | 2011|      |
WISE J140533.32+835030.5   |  |                   |14 | 5| 33.3 | +83|50|31| 9.70|1.70|L8.5|     |     |     |20.56|     |14.63|13.49|12.85|      |12.08|11.50|10.50|1460|    |    |      |          | 2013|      |
SDSS J140753.53+124110.1   |  |J14075361+1241099  |14 | 7| 53.6 | +12|41|10|21.00|2.00|L1  |     |     |     |20.43|     |15.38|14.34|13.60|      |13.05|12.73|11.92|    |    |    |      |          | 2004|      |
