    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2MASS J02572581-3105523    |  |J02572581-3105523  | 2 |57| 25.8 | -31| 5|52|10.03|0.67|L8  |     |     |     |     |     |14.67|13.52|12.88|      |12.02|11.59|10.60|1400|1.00|    |      |          | 2002|      |
DENIS-P J0301488?590302    |  |J03014892-5903021  | 3 | 1| 48.9 | -59| 3| 2|19.40|3.40|L0  |     |     |     |     |16.80|13.52|12.86|     |12.31 |     |     |     |    |    |    |      |          | 2010|      |
DENIS-P J0304322-243513    |  |J03043226-2435136  | 3 | 4| 32.3 | -24|35|14|26.70|4.80|L0  |     |     |     |     |17.29|13.97|13.34|     |12.94 |     |     |     |    |    |    |      |          | 2011|      |
WISEPA J030533.54+395434.4 |  |                   | 3 | 5| 33.5 | +39|54|34|23.10|    |T6  |     |     |     |     |     |17.13|17.08|16.93|      |16.82|14.64|12.64| 975|    |    |      |          | 2011|      |
SSSPM J0306-3648           |  |J03061159-3647528  | 3 | 6| 11.6 | -36|47|53|10.00|  ? |L0  |     |     |     |     |     |11.69|11.07|10.63|      |     |     |     |1900|    |    |      |          | 2005|      |
HD 19467 B                 | x|J03071857-1345421  | 3 | 7| 18.6 | -13|45|42|30.86|0.59|T6  |     |     |     |     |     |17.61|17.90|17.97|      |     |     |     |1050|    |57  | 72.5 |     1110 | 2014|      |
WISEPA J030724.57+290447.6 |  |                   | 3 | 7| 24.6 | +29| 4|48|25.40|    |T6.5|     |     |     |     |     |17.78|17.70|18.08|18.08 |17.44|14.88|12.39| 975|    |    |      |          | 2011|      |
AE For C                   | x|J03080663-2445347  | 3 | 8|  6.7 | -24|45|35|31.45|1.94|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |55  |  3.7 |          | 2012| UNCON|
2MASSW J0309088-194938     |  |J03090888-1949387  | 3 | 9|  8.9 | -19|49|39|31.00|3.00|L4.5|     |     |     |     |     |15.75|14.66|14.06|      |13.38|13.07|12.75|    |    |    |      |          | 2000|      |
2MASS J03101401-2756452    |  |J03101401-2756452  | 3 |10| 14.0 | -27|56|45|25.00|2.00|L5  |     |     |     |     |     |15.80|14.66|13.96|      |13.18|12.82|12.34|    |    |    |      |          | 2003|      |
2MASSW J0310599+164816 A   | x|J03105986+1648155  | 3 |10| 59.9 | +16|48|16|19.00|1.00|L9  |24.80|     |     |     |     |16.73|15.66|15.07|      |     |     |     |    |    |22  |      |          | 2000|      |
2MASSW J0310599+164816 B   | x|J03105986+1648155  | 3 |10| 59.9 | +16|48|16|25.00|4.00|L9  |     |     |     |     |     |16.83|15.71|15.06|      |     |     |     |    |    |22  |  5.2 |       72 | 2010|      |
WISEPA J031325.96+780744.2 |  |                   | 3 |13| 25.8 | +78| 7|44| 6.54|0.64|T8.5|     |     |     |     |     |17.67|17.67|     |      |16.09|13.23|11.85| 651|0.88|26  |      |          | 2011|      |
2MASS J03140344+1603056    |  |J03140344+1603056  | 3 |14|  3.4 | +16| 3| 6|14.50|1.80|L0  |     |     |     |     |     |12.53|11.82|11.24|      |     |     |     |    |    |    |      |          | 2006|      |
DENIS-P J0314352?462340    |  |J03143304-4623400  | 3 |14| 33.1 | -46|23|40|28.90|6.00|L2  |     |     |     |     |17.99|14.75|13.92|13.34|13.71 |     |     |     |    |    |    |      |          |     |      |
WISEP J031614.68+382008.0  |  |                   | 3 |16| 14.7 | +38|20| 8|23.00|  ? |T3  |     |     |     |     |     |16.21|15.50|15.33|      |14.72|13.56|12.37|    |    |    |      |          | 2013|      |
2MASS J03184214+0828002    | x|J03184214+0828002  | 3 |18| 42.1 | +08|28| 0|23.00|    |    |     |     |     |     |     |13.79|13.09|12.69|      |12.44|12.23|11.42|    |    |    | 1700 |          | 2012| UNCON|
2MASS J03185403-3421292    |  |J03185403-3421292  | 3 |18| 54.0 | -34|21|29|13.72|1.45|L7  |     |     |     |     |     |15.57|14.35|13.51|      |12.62|12.12|11.16|    |    |    |      |          | 2004|      |
2MASS J03202839-0446358 B  | x|J03202839-0446358  | 3 |20| 28.4 | -04|46|36|25.00|3.00|T5  |     |     |     |     |     |13.26|12.54|12.13|      |     |     |     |1900|    |71  |  8.3 |    0.676 | 2008|      |
WISEP J032120.91-734758.8  |  |                   | 3 |21| 20.9 | -73|47|59|26.00|    |T8  |     |     |     |     |     |19.13|19.06|     |      |19.19|15.60|13.01| 675|    |    |      |          | 2013|      |
WISEPC J032337.53-602554.9 |  |                   | 3 |23| 37.5 | -60|25|55|13.90|    |T8.5|     |     |     |     |     |18.15|18.40|     |      |17.50|14.47|12.81| 675|    |    |      |          | 2011|      |
WISEP J032517.69-385454.1  |  |                   | 3 |25| 17.7 | -38|54|54|15.70|    |T9  |     |     |     |     |     |19.40|     |     |      |18.46|14.98|13.22| 525|    |    |      |          | 2013|      |
WISEP J032547.72+083118.2  |  |                   | 3 |25| 47.7 | +08|31|18|11.20|    |T7  |     |     |     |     |     |16.54|16.15|     |      |15.44|13.49|11.66| 825|    |    |      |          | 2013|      |
SDSS J032553.17+042540.1   |  |J03255322+0425406  | 3 |25| 53.2 | +04|25|41|17.99|3.53|T5.5|     |     |     |     |     |16.25|16.08|16.53|      |15.89|13.78|12.45|    |    |    |      |          | 2003|      |
2MASSI J0328426+230205     |  |J03284265+2302051  | 3 |28| 42.7 | +23| 2| 5|30.18|3.83|L8  |     |     |     |     |20.30|16.69|15.55|14.92|14.88 |     |     |     |    |    |    |      |          | 2000|      |
ULAS J032920.22+043024.5   |  |                   | 3 |29| 20.2 | +04|30|25|24.00|  ? |T7  |     |     |     |     |     |17.50|17.88|     |18.17 |     |     |     |    |    |    |      |          | 2010|      |
SDSSp J033035.13-002534.5  |  |J03303511-0025346  | 3 |30| 35.1 | -00|25|35|28.00|3.00|L4  |     |22.31|     |20.14|19.00|15.31|14.42|13.84|      |     |     |     |    |    |    |      |          | 2000|      |
WISEPC J033349.34-585618.7 |  |                   | 3 |33| 49.3 | -58|56|19|16.80|    |T3  |     |     |     |     |     |16.00|15.42|14.64|      |14.02|13.25|12.11|    |    |    |      |          | 2011|      |
DENIS-P J033411.3-495333   |  |J03341218-4953322  | 3 |34| 12.2 | -49|53|32| 8.29|0.25|M9  |     |     |     |     |     |11.38|10.82|     |10.39 |     |     |     |    |    |    |      |          |     |      |
2MASSW J0335020+234235     |  |                   | 3 |35|  2.1 | +23|42|36|11.30|    |L2  |     |     |17.67|     |15.70|12.25|11.66|11.26|      |     |     |     |    |    |    |      |          |     | UNCON|
WISEP J033515.01+431045.1  |  |                   | 3 |35| 14.3 | +43|10|53|14.29|1.84|T9  |     |     |     |     |     |19.47|19.94|18.56|      |18.65|14.52|12.42| 465|0.90|22  |      |          | 2013|      |
WISEP J033605.05-014350.4  |  |                   | 3 |36|  5.1 | -01|43|50|17.00|    |T8  |     |     |     |     |     |19.00|18.25|     |      |17.96|14.54|12.56| 675|    |    |      |          | 2013|      |
WISEP J033651.90+282628.8  |  |                   | 3 |36| 51.9 | +28|26|29|24.00|  ? |T5  |     |     |     |     |     |16.54|16.28|15.77|      |16.01|14.44|12.47|    |    |    |      |          | 2013|      |
2MASSW J0337036-175807 A   | x|J03370359-1758079  | 3 |37|  3.6 | -17|58| 8|28.50|3.20|L4.5|23.60|     |     |     |19.40|15.62|14.41|13.58|      |12.83|12.45|11.87|1910|    |61  |      |          | 2000|      |
2MASSW J0337036-175807 B   | x|J03370359-1758079  | 3 |37|  3.6 | -17|58| 8|28.50|3.20|T8  |     |     |     |     |     |     |     |     |      |     |     |     | 615|    |14  | 2.52 |          | 2010|      |
LP 944-20                  |  |J03393521-3525440  | 3 |39| 35.2 | -35|25|44| 4.97|0.10|M9  |     |     |     |     |13.29|10.73|10.02|     |9.55  |     |     |     |2200|0.85|60  |      |          | 1998|      |
2MASS J03400942-6724051    |  |J03400942-6724051  | 3 |40|  9.4 | -67|24| 5|11.00|3.00|L7  |     |     |     |     |     |14.74|13.59|12.93|      |     |     |     |    |    |    |      |          | 2003|      |
2MASS J03423180+1216225 B  | x|J03423180+1216225  | 3 |42| 31.8 | +12|16|23|15.00|    |L0  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |   14 |      166 | 2012| UNCON|
2MASS J03454316+2540233 A  | x|J03454316+2540233  | 3 |45| 43.2 | +25|40|23|26.95|0.36|L0  |     |     |     |     |16.98|14.00|13.21|12.67|      |     |     |     |    |    |    |      |          | 1997|      |
2MASS J03454316+2540233 B  | x|J03454316+2540233  | 3 |45| 43.2 | +25|40|23|26.95|0.36|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    | 9.49 |          | 2010| UNCON|
2MASS J03480772-6022270    |  |J03480772-6022270  | 3 |48|  7.7 | -60|22|27| 9.00|1.00|T7  |     |     |     |     |     |15.32|15.56|15.60|      |15.02|12.57|11.10| 825|    |    |      |          | 2003|      |
WISEP J035000.32-565830.2  |  |                   | 3 |50|  0.3 | -56|58|30| 4.20|0.67|Y1  |     |     |     |     |     |22.18|22.26|     |      |18.70|14.75|12.33| 325|    |    |      |          | 2012|      |
LP 413-53                  |  |J03505737+1818069  | 3 |50| 57.4 | +18|18| 7|16.80|    |L2  |19.28|     |19.20|     |15.60|12.97|12.21|11.78|      |     |     |     |    |    |    |      |          |     |      |
SDSS J035104.37+481046.8   |  |J03510423+4810477  | 3 |51|  4.2 | +48|10|48|23.00|2.00|T1  |     |     |     |     |     |16.47|15.57|15.00|      |14.57|13.90|12.31|    |    |    |      |          | 2006|      |
2MASS J03521086+0210479    |  |J03521086+0210479  | 3 |52| 10.9 | +02|10|48|21.00|1.00|L0  |     |     |     |     |     |13.08|12.41|11.96|      |     |     |     |    |    |    |      |          | 2003|      |
2MASS J03552337+1133437 A  | x|J03552337+1133437  | 3 |55| 23.4 | +11|33|44| 9.12|0.11|L5  |     |     |     |     |     |14.05|12.53|11.53|11.46 |10.53|9.94 |9.29 |1900|    |22  |      |          | 2007|      |
2MASS J03552337+1133437 B  | x|J03552337+1133437  | 3 |55| 23.4 | +11|33|44| 9.12|0.11|L5  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    | 1.03 |          | 2010| UNCON|
DENIS-P J035726.9-441730 B | x|J03572695-4417305  | 3 |57| 27.0 | -44|17|31|22.20|2.00|L1.5|     |     |     |     |17.91|14.52|13.53|12.91|12.79 |12.48|12.09|11.60|    |    |84  |  2.2 |       11 | 2003| UNCON|
2MASS J03582255-4116060    |  |J03582255-4116060  | 3 |58| 22.6 | -41|16| 6|24.00|2.00|L5  |     |     |     |     |     |15.85|14.61|13.84|      |12.90|12.43|11.66|    |    |    |      |          | 2007|      |
WISEP J035934.06-540154.6  |  |                   | 3 |59| 34.1 | -54| 1|55| 6.90|1.85|Y0  |     |     |     |     |     |21.57|22.03|     |      |19.29|15.38|13.02| 375|    |    |      |          | 2012|      |
WISE J040137.21+284951.7   |  |                   | 4 | 1| 37.2 | +28|49|52|14.10|2.40|L3  |     |     |     |     |     |13.41|12.43|11.82|      |11.28|11.01|11.01|1970|    |65  |      |          | 2013|      |
WISE J040418.01+412735.6   |  |                   | 4 | 4| 18.0 | +41|27|36|23.20|3.60|L2  |     |     |     |     |     |14.15|13.10|12.42|      |11.85|11.55|11.64|2100|    |70  |      |          | 2013|      |
WISEA J040443.50-642030.0  |  |                   | 4 | 4| 43.5 | -64|20|30|24.80|0.70|T9  |     |     |     |     |     |19.65|19.97|     |      |18.44|15.73|12.98| 575|    |    |      |          | 2015|      |
2MASS J04070885+1514565    |  |J04070885+1514565  | 4 | 7|  8.9 | +15|14|57|17.00|2.00|T5  |     |     |     |     |     |16.06|16.02|15.92|      |15.48|13.90|12.05|    |    |    |      |          | 2004|      |
DENIS-P J0407089-234829    |  |J04070892-2348301  | 4 | 7|  8.9 | -23|48|30|26.20|5.40|M9  |     |     |     |     |16.80|13.75|13.08|     |12.63 |     |     |     |    |    |    |      |          | 2011|      |
2MASSI J0408290-145033     |  |J04082905-1450334  | 4 | 8| 29.1 | -14|50|33|24.00|2.00|L2  |     |     |     |     |     |14.22|13.34|12.82|      |     |     |     |    |    |    |      |          | 2003|      |
WISEPA J041022.71+150248.5 |  |                   | 4 |10| 22.1 | +15| 3|11| 6.25|0.35|Y0  |     |     |     |     |     |19.33|19.90|     |19.91 |18.33|14.11|12.31| 409|0.92|18  |      |          | 2011|      |
WISEPA J041054.48+141131.6 |  |                   | 4 |10| 54.5 | +14|11|32|26.30|    |T6  |     |     |     |     |     |17.16|17.26|16.98|17.82 |17.10|15.02|12.10| 975|    |    |      |          | 2011|      |
WISEP J041358.14-475039.3  |  |                   | 4 |13| 58.1 | -47|50|39|20.30|    |T9  |     |     |     |     |     |20.29|20.12|     |      |19.39|15.69|13.14| 525|    |    |      |          | 2013|      |
2MASS J04151954-0935066    |  |J04151954-0935066  | 4 |15| 19.5 | -09|35| 7| 5.64|0.07|T8  |     |     |     |23.45|     |15.70|15.54|15.43|15.45 |15.10|12.23|11.04| 750|0.91|35  |      |          | 2002|      |
DENIS-P J0419556-402534    |  |J04195568-4025344  | 4 |19| 55.7 | -40|25|34|23.60|4.30|L1  |     |     |     |     |17.34|13.93|13.38|     |12.73 |     |     |     |    |    |    |      |          | 2011|      |
2MASS J04210718-6306022    |  |J04210718-6306022  | 4 |21|  7.2 | -63| 6| 2|31.00|3.00|L5  |     |     |     |     |     |15.57|14.28|13.45|      |12.56|12.14|11.60|    |    |    |      |          | 2002|      |
LP 415-20 B                | x|                   | 4 |21| 49.0 | +19|29|10|21.00|5.00|M9.5|     |     |     |     |     |13.93|13.10|     |12.63 |     |     |     |2000|1.00|83  | 2.27 |     14.4 | 2003| UNCON|
SDSS J042348.57-041403.5 A | x|J04234858-0414035  | 4 |23| 48.6 | -04|14| 4|13.64|0.26|L6.5|     |22.64|     |20.14|     |15.02|13.91|13.26|      |12.18|11.56|10.54|    |    |63  |      |          | 2002|      |
SDSS J042348.57-041403.5 B | x|J04234858-0414035  | 4 |23| 48.6 | -04|14| 4|13.64|0.26|T2  |     |     |     |     |     |15.46|14.64|14.39|      |     |     |     |    |    |52  |  2.5 |       19 |     |      |
WISEP J042417.94+072744.1  |  |                   | 4 |24| 17.9 | +07|27|44|31.00|  ? |T7.5|     |     |     |     |     |18.71|18.76|18.87|      |18.44|15.33|12.68|    |    |    |      |          | 2013|      |
DENIS-P J0427270-112713    |  |J04272708-1127143  | 4 |27| 27.1 | -11|27|14|27.10|4.70|M9  |     |     |     |     |16.67|13.74|13.08|     |12.67 |     |     |     |    |    |    |      |          | 2011|      |
DENIS-P J0428510?225322    |  |J04285096-2253227  | 4 |28| 51.0 | -22|53|23|21.00|1.00|L0.5|     |     |     |     |16.80|13.51|12.67|12.12|11.97 |     |     |     |    |    |    |      |          | 2003|      |
LP 475-855 B               | x|J04290287+1337586  | 4 |29|  2.9 | +13|37|59|29.00|5.00|M9.5|20.80|     |     |     |14.81|12.65|11.94|     |11.62 |     |     |     |    |    |84  |  8.5 |       85 |     | UNCON|
2MASS J04291842-3123568 B  | x|J04291842-3123568  | 4 |29| 18.4 | -31|23|57| 9.70|0.90|L1  |     |     |     |     |     |12.38|11.65|11.12|      |     |     |     |    |    |83  |  5.8 |       48 | 2003| UNCON|
CFHT-Hy-20                 |  |                   | 4 |30| 38.8 | +13| 9|57|28.80|0.30|T2  |     |     |     |     |21.58|     |     |16.08|      |15.60|14.65|11.84|1361|    |37  |      |          | 2008|      |
LP 655-23 B                | x|J04305157-0849007  | 4 |30| 51.6 | -08|49| 1|23.00|2.00|M8  |     |     |18.80|     |15.79|12.90|12.20|     |11.78 |     |     |     |    |    |    |  450 |          | 2003|      |
WISEP J043052.92+463331.6  |  |                   | 4 |30| 52.9 | +46|33|32|28.00|  ? |T8  |     |     |     |     |     |19.03|19.25|     |      |18.08|14.40|11.51|    |    |    |      |          | 2013|      |
2MASS J04351455-1414468    |  |J04351455-1414468  | 4 |35| 14.6 | -14|14|47| 8.60|1.00|M6  |     |     |     |     |     |11.88|     |     |9.95  |     |     |     |    |    | 8  |      |          | 2003|      |
DENIS-P J0436205-421851    |  |J04362054-4218523  | 4 |36| 20.5 | -42|18|52|24.50|4.70|L0  |     |     |     |     |18.00|14.49|13.65|13.14|13.15 |     |     |     |    |    |    |      |          | 2008|      |
2MASSI J0439010-235308     |  |J04390101-2353083  | 4 |39|  1.0 | -23|53| 8| 9.06|0.33|L6.5|     |     |     |     |     |14.41|13.41|12.82|      |     |     |     |    |    |    |      |          | 2003|      |
2MASSI J0443058-320209     |  |J04430581-3202090  | 4 |43|  5.8 | -32| 2| 9|24.00|2.00|L5  |     |     |     |     |     |15.27|14.35|13.88|      |     |     |     |    |    |    |      |          | 2003|      |
DENIS-P J0443376+000205    |  |J04433761+0002051  | 4 |43| 37.6 | +00| 2| 5|15.30|1.00|M9.5|19.60|19.74|     |16.93|15.88|12.51|11.80|11.22|11.22 |     |     |     |2600|    |65  |      |          | 2002|      |
2MASSI J0445538-304820     |  |J04455387-3048204  | 4 |45| 53.9 | -30|48|20|12.74|0.80|L2  |     |     |     |     |     |13.39|12.58|11.98|      |     |     |     |    |    |    |      |          | 2003|      |
WISEPA J044853.29-193548.5 |  |                   | 4 |48| 53.3 | -19|35|49|26.00|5.00|T5  |     |     |     |     |     |16.99|16.39|16.56|      |16.48|14.19|13.04|    |    |    |      |          | 2003|      |
2MASS J04510093-3402150    |  |J04510093-3402150  | 4 |51|  0.9 | -34| 2|15|22.00|1.00|L0.5|     |     |     |     |     |13.54|12.83|12.29|      |     |     |     |    |    |    |      |          | 2003|      |
2MASSI J0453264-175154     |  |J04532647-1751543  | 4 |53| 26.5 | -17|51|54|31.00|6.00|L3  |     |     |     |     |     |15.14|14.06|13.47|      |     |     |     |    |    |    |      |          | 2003|      |
WISE J045746.08-020719.2   |  |                   | 4 |57| 46.1 | -02| 7|19|12.50|3.10|T2  |     |     |     |     |     |14.90|14.20|14.02|13.98 |13.39|12.44|11.02|    |    |    |      |          | 2013|      |
WISEPA J045853.89+643452.9 A|x|                   | 4 |58| 53.9 | +64|34|53|10.50|1.40|T8.5|     |     |     |     |     |17.50|17.77|     |      |16.37|13.00|12.03| 600|    |15  |      |          | 2011|      |
WISEPA J045853.89+643452.9 B|x|                   | 4 |58| 53.9 | +64|34|53|10.50|1.40|T9.5|     |     |     |     |     |18.48|18.79|     |      |     |     |     | 500|    |10  |    5 |       70 | 2011|      |
